,user,session,acc,params_2
0,1,20131027,0.9552023410797119,lr15:0.01
1,1,20131030,0.8475433588027954,lr2:5e-05
2,1,20131107,0.6755780577659607,lr9:0.0009
3,10,20131130,0.7377167344093323,lr11:0.003
4,10,20131204,0.7254335284233093,lr10:0.001
5,10,20131211,0.9248554706573486,lr11:0.003
6,11,20140618,0.7897399067878723,lr14:0.009
7,11,20140625,0.7348265647888184,lr11:0.003
8,11,20140630,0.9696531891822815,lr11:0.003
9,12,20131127,0.9624277353286743,lr4:9e-05
10,12,20131201,0.8092485666275024,lr15:0.01
11,12,20131207,0.8778901696205139,lr1:3e-05
12,13,20140527,0.8721098303794861,lr12:0.005
13,13,20140603,0.9089595079421997,lr13:0.007
14,13,20140610,0.8200867176055908,lr13:0.007
15,14,20140601,0.8735548853874207,lr6:0.0003
16,14,20140615,0.8923410177230835,lr6:0.0003
17,14,20140627,0.7868497371673584,lr5:0.0001
18,15,20130709,1.0,lr14:0.009
19,15,20131016,1.0,lr15:0.01
20,15,20131105,1.0,lr2:5e-05
21,2,20140404,0.8294797539710999,lr15:0.01
22,2,20140413,0.9335260391235352,lr11:0.003
23,2,20140419,0.7167630195617676,lr19:0.09
24,3,20140603,0.9024566411972046,lr5:0.0001
25,3,20140611,0.8345375657081604,lr6:0.0003
26,3,20140629,1.0,lr0:1e-05
27,4,20140621,0.7304913401603699,lr13:0.007
28,4,20140702,0.727601170539856,lr17:0.05
29,4,20140705,0.7875722646713257,lr15:0.01
30,5,20140411,0.8294797539710999,lr16:0.03
31,5,20140418,0.9696531891822815,lr15:0.01
32,5,20140506,0.8699421882629395,lr10:0.001
33,6,20130712,1.0,lr2:5e-05
34,6,20131016,0.8345375657081604,lr13:0.007
35,6,20131113,0.8966763019561768,lr13:0.007
36,7,20131027,0.9523121118545532,lr14:0.009
37,7,20131030,1.0,lr18:0.07
38,7,20131106,0.75,lr16:0.03
39,8,20140511,0.9082369804382324,lr17:0.05
40,8,20140514,0.9205202460289001,lr4:9e-05
41,8,20140521,0.9689306616783142,lr14:0.009
42,9,20140620,0.9082369804382324,lr6:0.0003
